experiment,result_file,engine,q_slots,retry_cap,evidence_path,evidence,aggregate_cap
E1_layer1_knee,results/layer1/knee_verification.csv,analytic + cycle_builder (Layer-1),7,n/a (PER=0),src/formulas/transition_formulas.py:27,b_slac_slots: int = 7 (dataclass default; verify_knee_e1.py constructs TransitionParams() unmodified),n/a (replay/reserving/analytic tier)
layer1_admission_region,results/layer1/admission_region.csv,analytic classify_regime grid,7,n/a (PER=0),experiments/layer1/sweep_admission_region.py:128,"q, b_pkt = params.b_slac_slots, params.B_pkt_slots (default TransitionParams)",n/a (replay/reserving/analytic tier)
5b_parity,results/ns3_e1/parity_knee.csv,slot-machine standalone (parity_dump),7,n/a (PER=0),experiments/ns3_e1/run_parity.py:74,params.b_slac_slots passed through (default 7),n/a (replay/reserving/analytic tier)
5ci_overhead,results/ns3_e1/overhead_knee.csv,slot-machine standalone (overhead_dump),7,n/a (PER=0),experiments/ns3_e1/run_overhead.py:46,p.b_slac_slots * k in channel formula (default 7),n/a (replay/reserving/analytic tier)
5cii_loss_ii0_iia_iib,results/ns3_e1/loss_knee.csv (ii-b aggregate: rerun output; see EVENT_COUNTS.csv),message-replay standalone (loss_sim),7,unlimited retx (observational),ns3/standalone/loss_sim.cc:124 + ns3/contrib/ev-plc-transition/model/ev-plc-params.cc:17,window = p.m_bAuthSlots * k; EvPlcParams default m_bAuthSlots(7),n/a (replay/reserving/analytic tier)
E2_variants,results/ns3_e1/e2_admission_variants.csv,credit-discipline standalone (e2_sim),A/B: 7 | C: 19 (p=1e-3) / 25 (p=1e-2),A/B: 0 | C: 2 / 3,experiments/ns3_e1/run_e2.py:64-65,"variants = [(A_loss_blind,7,0),(B_q_exp,7,0),(C_q_wc, q_wc(p))] with q_wc(1e-3)=(19,2), q_wc(1e-2)=(25,3); diagnostics q=7 at run_e2.py:134","yes (capMode=2 / --aggCap=1, v4.14)"
E3_beacon,results/ns3_e1/e3_static.csv + e3_eta.csv + e3_adversarial.csv,slot-machine standalone (e3_sim),7,n/a,ns3/contrib/ev-plc-transition/model/ev-plc-params.cc:17,EvPlcParams default m_bAuthSlots(7); no override anywhere in run_e3.py / e3_sim.cc (grep bAuth: 0 hits),n/a (replay/reserving/analytic tier)
E4_approx,results/ns3_e1/e4_policy_comparison.csv,slot-approx standalone (e4_sim),acbs: 25 | fixed_10/25/50: n/a (alpha% reservation),acbs: 3 | fixed: 0,experiments/ns3_e1/run_e4e5.py:43 + ns3/standalone/e4_sim.cc:113,"(acbs_qwc25, acbs, 25, 3); acbsParams.m_bAuthSlots = q","yes (capMode=2 / --aggCap=1, v4.14)"
E4_event,results/ns3_e1/e4_policy_comparison_event.csv + e4_policy_counts.csv + e4_slack_occupancy.csv,event-driven EvPlcPolicyMac,acbs: 25 | fixed: n/a,acbs: 3 | fixed: 0,experiments/ns3_e1/run_trackc_c4.py:77 + ns3/contrib/ev-plc-transition/model/ev-plc-policy-mac.cc:69,"policies = [(acbs_qwc25, acbs, 25, 3), ...]; ConfigureAcbs: p.m_bAuthSlots = q","yes (capMode=2 / --aggCap=1, v4.14)"
E4_csma_c4,results/ns3_e1/e4_csma_single_cell_30_0.csv + CSMA column of E4 files,contention MAC (hpgp-csma-ca),n/a (no scheduled SLAC window),n/a,ns3/contrib/ev-plc-transition/examples/trackc-e4-csma.cc,contention baseline - q does not exist in this MAC,n/a (contention MAC)
E5_adversarial,results/ns3_e1/e5_adversarial.csv,BeaconMapSlotMachine + GrantMapScheduler (e5_sim),7,n/a (PER=0),ns3/contrib/ev-plc-transition/model/grant-map-scheduler.cc:21 + ev-plc-params.cc:17,k * m_params.m_bAuthSlots; e5_sim constructs EvPlcParams() unmodified,n/a (replay/reserving/analytic tier)
G1_event_parity,gate run (event_ref_dump vs trackc-e1-parity; E5 grid equality),event replay + slot-machine reference,7,n/a,ns3/standalone/event_ref_dump.cc:77,cursor += p.m_bAuthSlots * k (default 7),n/a (replay/reserving/analytic tier)
G3a_qwc_burst,results/ns3_e1/g3a_qwc_burst.csv,event-driven EvPlcPolicyMac + G-E channel,25,3,ns3/contrib/ev-plc-transition/examples/trackc-g3.cc:242,"mac->ConfigureAcbs(25, 3)","yes (capMode=2 / --aggCap=1, v4.14)"
G3b_link_aware,results/ns3_e1/g3b_link_aware.csv,event-driven EvPlcPolicyMac (G-E off),7,0,ns3/contrib/ev-plc-transition/examples/trackc-g3.cc:117,"mac->ConfigureAcbs(7, 0)","yes (capMode=2 / --aggCap=1, v4.14)"
G3c_burst,results/ns3_e1/g3c_burst_sensitivity.csv,event-driven EvPlcMac replay + G-E channel,7,unlimited retx,ns3/contrib/ev-plc-transition/model/ev-plc-mac.cc:86 + ev-plc-params.cc:17,SLAC_SERVICE duration = m_params.m_bAuthSlots * m_kSlac (default 7),n/a (replay/reserving/analytic tier)
G3i_iid,results/ns3_e1/g3i_iid_baseline.csv,event-driven EvPlcMac replay (uniform slot-PER),7,unlimited retx,same as G3c,same cell loop and accounting as mode=c,n/a (replay/reserving/analytic tier)
G3_burst_vs_iid,results/ns3_e1/g3_burst_vs_iid.csv,event-driven EvPlcMac replay (modes i and c),7,unlimited retx,same as G3c,"same engine both columns; envelope slack uses q=7 (F = max(15N+7K+21,295)+21N+21)",n/a (replay/reserving/analytic tier)
Thm1_trajectory,claim #10 trajectory adjudication (with loss_knee overrun_max),event-driven EvPlcPolicyMac,19 / 25 (sweep),2 / 3,ns3/contrib/ev-plc-transition/examples/trackc-thm1.cc:29-41,"--q=<19|25> --cap=<n>; mac->ConfigureAcbs(q, cap)","yes (capMode=2 / --aggCap=1, v4.14)"
